city,month,rainfall,trigger
ANDAMAN & NICOBAR ISLANDS,1,16.5,0
ANDAMAN & NICOBAR ISLANDS,2,15.3,0
ANDAMAN & NICOBAR ISLANDS,3,116.5,0
ANDAMAN & NICOBAR ISLANDS,5,194.3,0
ANDAMAN & NICOBAR ISLANDS,6,498.3,1
ANDAMAN & NICOBAR ISLANDS,7,664.8,1
ANDAMAN & NICOBAR ISLANDS,8,562.9,1
ANDAMAN & NICOBAR ISLANDS,9,383.8,1
ANDAMAN & NICOBAR ISLANDS,10,174.9,0
ANDAMAN & NICOBAR ISLANDS,11,199.2,0
ANDAMAN & NICOBAR ISLANDS,12,212.2,1
ANDAMAN & NICOBAR ISLANDS,1,21.6,0
ANDAMAN & NICOBAR ISLANDS,2,10.7,0
ANDAMAN & NICOBAR ISLANDS,3,0.0,0
ANDAMAN & NICOBAR ISLANDS,4,112.0,0
ANDAMAN & NICOBAR ISLANDS,5,330.5,1
ANDAMAN & NICOBAR ISLANDS,6,732.8,1
ANDAMAN & NICOBAR ISLANDS,7,449.5,1
ANDAMAN & NICOBAR ISLANDS,8,332.0,1
ANDAMAN & NICOBAR ISLANDS,9,349.5,1
ANDAMAN & NICOBAR ISLANDS,10,383.3,1
ANDAMAN & NICOBAR ISLANDS,11,251.7,1
ANDAMAN & NICOBAR ISLANDS,12,617.5,1
ANDAMAN & NICOBAR ISLANDS,1,13.4,0
ANDAMAN & NICOBAR ISLANDS,2,57.2,0
ANDAMAN & NICOBAR ISLANDS,3,50.5,0
ANDAMAN & NICOBAR ISLANDS,4,101.6,0
ANDAMAN & NICOBAR ISLANDS,5,368.9,1
ANDAMAN & NICOBAR ISLANDS,6,668.6,1
ANDAMAN & NICOBAR ISLANDS,7,318.2,1
ANDAMAN & NICOBAR ISLANDS,8,397.1,1
ANDAMAN & NICOBAR ISLANDS,9,546.7,1
ANDAMAN & NICOBAR ISLANDS,10,318.4,1
ANDAMAN & NICOBAR ISLANDS,11,316.3,1
ANDAMAN & NICOBAR ISLANDS,12,107.5,0
ANDAMAN & NICOBAR ISLANDS,1,54.1,0
ANDAMAN & NICOBAR ISLANDS,2,1.5,0
ANDAMAN & NICOBAR ISLANDS,3,16.1,0
ANDAMAN & NICOBAR ISLANDS,4,77.3,0
ANDAMAN & NICOBAR ISLANDS,5,480.5,1
ANDAMAN & NICOBAR ISLANDS,6,541.0,1
ANDAMAN & NICOBAR ISLANDS,7,335.6,1
ANDAMAN & NICOBAR ISLANDS,8,202.8,1
ANDAMAN & NICOBAR ISLANDS,9,512.5,1
ANDAMAN & NICOBAR ISLANDS,10,263.9,1
ANDAMAN & NICOBAR ISLANDS,11,165.9,0
ANDAMAN & NICOBAR ISLANDS,12,131.3,0
ANDAMAN & NICOBAR ISLANDS,1,0.5,0
ANDAMAN & NICOBAR ISLANDS,2,2.8,0
ANDAMAN & NICOBAR ISLANDS,3,59.4,0
ANDAMAN & NICOBAR ISLANDS,4,0.0,0
ANDAMAN & NICOBAR ISLANDS,5,320.7,1
ANDAMAN & NICOBAR ISLANDS,6,335.4,1
ANDAMAN & NICOBAR ISLANDS,7,268.1,1
ANDAMAN & NICOBAR ISLANDS,8,889.2,1
ANDAMAN & NICOBAR ISLANDS,9,477.5,1
ANDAMAN & NICOBAR ISLANDS,10,114.1,0
ANDAMAN & NICOBAR ISLANDS,11,221.0,1
ANDAMAN & NICOBAR ISLANDS,12,318.8,1
ANDAMAN & NICOBAR ISLANDS,1,0.0,0
ANDAMAN & NICOBAR ISLANDS,2,12.8,0
ANDAMAN & NICOBAR ISLANDS,3,0.0,0
ANDAMAN & NICOBAR ISLANDS,4,77.8,0
ANDAMAN & NICOBAR ISLANDS,5,251.9,1
ANDAMAN & NICOBAR ISLANDS,6,497.0,1
ANDAMAN & NICOBAR ISLANDS,7,302.5,1
ANDAMAN & NICOBAR ISLANDS,8,311.9,1
ANDAMAN & NICOBAR ISLANDS,9,516.0,1
ANDAMAN & NICOBAR ISLANDS,10,382.8,1
ANDAMAN & NICOBAR ISLANDS,11,266.0,1
ANDAMAN & NICOBAR ISLANDS,12,279.5,1
ANDAMAN & NICOBAR ISLANDS,1,39.2,0
ANDAMAN & NICOBAR ISLANDS,2,7.4,0
ANDAMAN & NICOBAR ISLANDS,1,84.4,0
ANDAMAN & NICOBAR ISLANDS,2,3.6,0
ANDAMAN & NICOBAR ISLANDS,3,21.1,0
ANDAMAN & NICOBAR ISLANDS,4,135.2,0
ANDAMAN & NICOBAR ISLANDS,5,309.1,1
ANDAMAN & NICOBAR ISLANDS,6,535.9,1
ANDAMAN & NICOBAR ISLANDS,7,189.0,0
ANDAMAN & NICOBAR ISLANDS,8,367.4,1
